# AppV2        TP        FP      TN      FN
0.000000 18649.000000 2.000000 283242.000000 2981.000000
0.100000 18790.000000 8.000000 283236.000000 2840.000000
0.200000 19071.000000 28.000000 283216.000000 2559.000000
0.300000 19250.000000 276.000000 282968.000000 2380.000000
0.400000 19809.000000 2551.000000 280693.000000 1821.000000
0.500000 20059.000000 8389.000000 274855.000000 1571.000000
0.600000 20269.000000 36917.000000 246327.000000 1361.000000
0.700000 20466.000000 148704.000000 134540.000000 1164.000000
0.800000 20846.000000 216094.000000 67150.000000 784.000000
0.900000 21370.000000 271740.000000 11504.000000 260.000000
1.000000 21467.000000 280625.000000 2619.000000 163.000000

